gene  z1         z2       z3          z4        z5          z6      z7        z8         z9        z10    z11         z12       z13       z14        z15      z16       z17      z18        z19        z20       z21     z22        z23       z24       z25      z26        z27       z28        z29      z30       z31      z32       z33       z34       z35       z36       z37       z38        z39       z40      z41       z42        z43      z44        z45      z46       z47      z48         z49       z50      z51       z52        z53       z54      z55        z56      z57        z58      z59       z60        z61      z62      z63              
 297   1.45487   1.51340   1.73451   0.70939   1.10915   1.09024   0.93535   1.02403   1.25691   0.83064   0.54014   0.56693   0.99413   0.06353   1.09024   0.94684   1.47191   0.56130   0.50724   0.55899   1.43192   0.83376   0.43162   0.81508   0.27589   0.31090   0.40929   0.79163   0.66212   0.58545   0.35283   0.66251   1.17209   1.12738   1.14924   1.20761   1.27857   0.99870   0.07876   0.53162   0.99870   1.24490   0.64883   1.21795   0.72880   0.00280   0.79163   0.67144   0.58629   0.33182  -0.35775   1.01747   1.07470   1.18493   1.24696   1.30983   1.13971   1.44204   1.07955   0.04071   0.90725  -0.21035  -1.03170
 298   0.79647   1.29148   0.29999  -0.03475   0.33286   1.25143  -0.07996   0.57526   1.14924   0.92925   1.03622   0.79647   1.35876   0.41986   0.61718   0.43162   0.97802   0.92925   0.80560   0.79647   1.37991   1.13198   0.97802   0.43012   1.25143   1.40660   0.63742   1.27857   0.58545   0.59928   0.65375   0.44125   1.12738   1.29148   1.40819   0.84801   1.04297   1.14924   1.69502   0.55337   1.39936   1.46121   1.45487   0.88466   1.24156   1.05906   1.22087   1.79401   1.63954   1.48275  -0.41680   1.68927   0.31824   0.96386   0.64645   0.83781   1.18277   0.69502   0.73465   1.12337   1.28420   0.72209  -1.54249
 299  -2.48292  -1.96791  -2.09354  -1.67505  -1.25422  -1.29792  -0.59994  -1.43192  -1.98418  -0.22766  -0.41612  -0.23965  -0.71060  -0.24558  -1.74326  -1.69569  -2.23927  -1.06466  -1.06018  -0.81667  -1.92518  -0.62559  -0.50555   0.36828  -0.71795  -0.09723  -0.04103  -2.05847  -2.03873  -1.60080  -1.63954  -1.96612  -1.90751  -1.71397  -0.64789  -0.88904  -1.32013  -0.94637  -0.25013  -0.54529  -0.73668  -0.26143  -1.21428  -0.17287  -0.59512  -0.62858   0.06015  -1.40508  -2.23507  -1.25650  -1.96434  -0.82303  -2.48654  -1.93621  -2.04950  -2.12111  -0.94830  -1.51585  -2.21598  -2.42709  -1.65657  -1.91770  -1.73415
 300  -2.70530  -2.46882  -2.39910  -1.34017  -0.86644  -1.31174  -2.16762  -1.89049  -1.65815  -1.99445  -1.08753  -1.60330  -2.48956  -1.06147  -1.89429  -1.98933  -2.24958  -1.49444  -1.51029  -1.56022  -2.21598  -1.50014  -0.76852  -0.97280  -1.50419  -1.10527  -0.94637  -1.77997  -1.85151  -1.69120  -1.85151  -1.99445  -2.24162  -2.21598  -2.10579  -1.59906  -1.72486  -1.73415  -1.83259  -1.64287  -1.86530  -2.60105  -1.27692  -2.05573  -1.48568  -0.93299  -1.96898  -2.09557  -2.37815  -1.30195  -2.14730  -1.70130  -2.17596  -2.49502  -2.46415  -2.43166  -2.08024  -1.12501  -1.93933  -2.83446  -2.48956  -0.68687   0.40496
 301   0.12301   0.12036  -0.34066   0.33286  -0.01878  -0.16323  -0.57208  -0.29558  -0.19432   0.01247  -0.34186  -0.24558  -1.08450   0.41884   0.15961   0.64645  -0.04041  -0.20187  -0.15274   0.30498   0.42104   0.46656   0.67008   0.07483   0.12301   0.23393   0.38233   0.78828   0.60393   0.68095  -0.26723  -0.65422   0.94055   0.19651   0.38784   1.09731   0.90725   0.09780   0.21299   0.74308   0.37833   0.83064   0.11427   0.54372  -0.57946  -0.49225   0.56130   0.64682   1.36768   0.57526  -0.60496   0.27475   0.16856  -0.26853   0.64519  -0.45437  -0.28456   0.09703  -2.43166   0.06839   0.29073  -0.81019  -0.49430
 302   1.50637   0.57019   0.81153   0.47772   0.99654   0.87027   0.57129   0.73280   1.15933   0.74799   0.61718   0.38784  -0.16706   1.74456   1.17209   1.15933   1.52188   1.23211   1.58041   1.30322   1.14354   1.86249   1.99122   1.08012   1.48607   0.51953   1.25691   1.80723   1.69502   1.85161   0.88466   1.36506   1.82816   1.05906   1.09024   1.34441   1.79092   1.61942   0.69502   1.80723   1.19690   1.30322   0.75790   0.60524  -0.13445  -0.24731   1.24156   1.29561   0.60199   1.12738   0.00985   0.17235   1.04774   0.79163   1.19803   0.64519   0.87299   0.86800   1.59142   0.25773   1.42514   0.41884   1.69502
 303  -2.70680  -2.50472  -2.02810   0.72880  -2.17025  -1.75622  -2.08506  -1.19073  -1.32821  -1.18344  -0.52950  -0.67757  -0.95347  -0.95809  -2.48956  -2.62589  -2.75673  -0.98631  -0.99764  -0.36061  -2.19376  -1.08398  -1.22904  -0.73210  -0.61860  -0.97154  -0.36875  -1.79040  -1.79249  -1.72556  -2.46708  -2.48654  -1.89879  -1.89546  -0.29652  -0.78834  -1.14712  -2.06672  -0.69645  -1.55998  -0.85839  -1.07295  -0.76970  -0.71060  -1.40508  -0.83645  -0.86608  -0.24705  -0.98618  -1.59586  -2.39910  -0.61462  -2.65859  -1.97221  -2.54289  -2.70906  -1.15757   0.20351  -1.50352  -0.55091  -2.03642  -1.33029  -1.36767
 304   0.07849  -0.57208  -0.28296  -0.04041  -0.08230   0.43162   0.29073  -0.08796   0.22174   0.10188  -0.04895   0.38001  -0.71734  -0.29558   0.65375   0.39991   0.07302   0.06452   0.12646  -0.52037  -0.28296  -0.33052  -0.22935  -0.22766  -0.25225   0.02888   0.24177  -0.12016   0.29673  -0.13091  -0.18568   0.17902   0.08567  -0.03698  -0.14007   0.58441   0.41304   0.20339  -0.20102   0.33993   0.29073   0.49048  -0.06550   0.59438  -0.51936  -0.98631  -0.31588  -0.30966   0.66251  -0.15330   0.18706  -0.55208  -0.09212   0.26819  -0.32138   0.35718   0.04707  -0.98886   0.61621  -0.00713  -0.98551  -0.15806  -0.19268
 305  -0.94637  -1.20823  -1.67772  -0.61462  -0.00181  -1.12856  -1.10203  -1.68040  -0.64483  -1.07149  -0.90981  -0.49225  -1.65397  -0.19681  -0.43464  -0.37564  -0.46545  -0.59875  -0.50991  -0.19075  -0.46267  -0.22149  -0.22264  -0.83023  -0.40497  -0.52391  -0.38221  -0.67345  -1.01584  -1.07515   0.02059  -0.39846  -0.54948  -0.48735  -1.32859  -1.14712  -1.42628  -0.75173   0.29009  -0.93905  -0.71857  -0.55321  -1.34017  -2.56308   0.11060  -0.12483  -1.12440  -0.10525  -0.77816  -0.37877  -0.00783  -0.40377  -0.17674  -0.63394  -1.03791  -1.04173  -2.78872  -1.32126  -0.45697  -0.24399  -1.03170  -1.08694  -1.55736
 306   0.27475   0.00985   0.07849  -0.77773   0.07218   0.07876  -0.65489  -0.35511  -0.16706   0.17723  -0.03475   0.32977  -0.34066  -1.40854  -0.77024  -1.21251   0.21793  -1.18254  -1.22469  -0.83524  -0.46164  -1.82635  -1.46620  -0.14059  -0.28988  -0.30374  -0.27358  -0.65287  -0.09723  -0.19681   0.02469  -0.28072  -0.45146  -0.23756  -0.79175  -0.40134  -0.62952  -0.04704   0.03773  -0.78669  -0.49454  -0.44816  -1.28484   0.12813  -2.16282  -2.56973  -1.67612  -1.44626  -0.10820  -1.06481  -0.33282  -1.66841   0.32519  -0.55460   0.41706  -0.44442   0.05373   0.01153   0.32783   0.09948  -0.46793  -0.70184   0.17902
 307  -1.21428  -2.10046  -1.63177  -1.43843  -1.64364  -1.75302  -2.00217  -1.21875  -1.27048  -1.15012  -1.05041  -1.40447  -1.87831  -1.66920  -2.29313  -2.22573  -1.66499  -2.20094  -2.24958  -1.81340  -2.56973  -1.87962  -1.48568  -0.88831  -1.31174  -1.04863  -0.81724  -1.64364  -1.67932  -1.48568  -1.31444  -2.37199  -2.07188  -2.02090  -1.83102  -1.75622  -2.02660  -2.32969  -1.94317  -1.80974  -1.48723  -1.88816  -1.99519  -0.96529  -1.05006  -1.36718  -1.70034  -1.52809  -1.60330  -1.32126  -1.74326  -1.16315  -2.07188  -1.93517  -1.68416  -1.37279  -1.12856  -0.65691  -1.61708  -2.16282  -1.64082  -2.10497  -1.38530
 308   0.74799   0.18478   0.17647   0.63943  -0.48735  -0.70917  -1.44520  -1.78950  -1.58606  -0.78275  -1.05902  -0.88298  -1.45651  -0.39260   0.67144   0.86164   0.45644  -0.40152  -0.37579  -0.24558   0.39797  -0.25174  -0.04646   0.15961  -0.71590   0.05434  -0.25373   0.75790   0.77489   0.67008   1.10270   0.35718   1.12337   1.10270  -1.07720  -0.56846  -0.74586  -0.16925  -0.37579   0.39285  -0.29236  -0.82303  -0.24150  -1.75651  -0.14434   0.20351  -0.22766  -0.47096  -0.79175  -0.80660   0.76062  -0.36061   0.83781   0.85143   0.65760   0.65760  -1.19576   0.96386  -1.18132  -0.82932   0.43012   0.70315   0.37833
 309  -0.74644  -1.37219  -1.44689   0.59438   0.30195   0.31787  -1.12501  -1.54155  -1.56117  -1.29664  -0.97803  -0.93230  -1.81356  -1.10565  -0.33052  -0.31897  -0.39031  -0.69826  -0.68181  -0.55766  -0.86223  -1.14413  -0.68172  -0.39705  -0.11071  -0.19754  -0.19171  -1.08502  -1.55143  -1.04229   0.11427  -0.10142  -0.31739  -0.58861  -0.57261  -0.29296  -0.74782  -0.82537  -0.28988  -0.66885  -0.90981  -0.50046   0.00025  -1.49545  -0.87247  -0.50108  -1.14980  -1.25247  -0.99506  -0.71259  -0.61462  -0.60817  -0.89221  -0.89081  -1.79789  -1.02235  -1.44987  -0.89882  -1.77997  -2.07088  -1.09379  -1.53388  -1.07690
 310  -0.68033  -1.17831  -1.02235  -0.24399  -0.24399   0.62262  -0.85862  -0.23965  -0.26631  -0.28602   0.53162   0.51498  -0.10013  -2.32969  -1.88093  -1.73415  -1.23015  -1.40447  -1.41944  -0.30510  -1.01584  -1.67852  -2.07188  -1.03170  -1.05041  -1.47666  -1.59906  -1.58384  -1.42317  -2.10210  -1.35035  -1.53226  -2.17596  -2.03873  -0.10314  -1.11247  -0.24399  -0.30966   0.09703  -0.99750  -0.93230  -1.73884  -0.32138  -0.41885  -1.16556  -0.58951  -0.78417  -1.00711  -1.20648  -1.32821  -1.56334  -1.02946  -1.23615  -0.78275  -1.49545  -1.44012  -0.23187  -0.66155  -0.60496  -1.21824  -0.91892  -0.75227  -0.95108
 311  -2.13200  -2.10497  -2.05203  -2.21598  -1.14949  -2.13454  -0.68687  -2.29412  -2.30209  -2.14730  -2.11279  -2.26010  -2.62589  -2.22153  -2.70906  -2.64234  -1.96791  -2.50777  -2.55643  -2.06791  -2.35613  -2.22363  -2.20549  -1.66974  -1.53388  -1.78355  -1.77744  -1.86530  -2.06259  -2.10046  -1.96612  -2.62589  -2.32248  -2.15546  -2.15373  -1.94527  -2.19376  -2.14773  -2.07864  -2.56973  -2.80017  -2.34778  -1.92965  -1.49143  -1.54789  -1.21520  -2.70530  -1.29135  -1.39191  -2.51950  -2.77179  -2.68311  -2.68311  -2.32248  -2.37199  -2.24162  -1.57825  -1.47055  -2.51950  -2.34046  -1.99098  -2.43166  -1.83651
 312  -1.65815  -1.66104  -1.43759  -2.06259  -1.70761  -1.49143  -1.64211  -1.80668  -2.09232  -0.17769  -0.70482  -0.99682  -1.29737  -0.52476  -1.29682  -1.61658  -2.69489  -1.61456  -1.65189  -1.28917  -2.35613  -0.10820  -0.75173   0.37046  -0.20678  -0.09004   0.04488  -0.41151  -0.31588  -0.38935  -0.12483  -2.45550  -2.22573  -2.26678   0.46175  -0.74539  -0.36464  -1.19419  -0.44294  -0.42909   0.27608  -0.65518  -1.98933  -0.71259  -1.29153   0.49716   0.49048   0.00752  -1.12194  -0.47289  -2.53524  -0.31567  -2.87915  -1.79504  -1.51029  -1.91480  -0.81724  -1.09379  -0.67354  -1.79369  -1.99519  -1.48988  -0.96969
 313  -2.06732  -1.93621  -2.21049  -1.32586  -2.20822  -1.35170  -0.28602  -1.33693  -1.74326  -1.83416  -1.33237  -1.27244  -0.66963  -0.62708  -1.32126  -1.32126  -1.11903  -0.86359  -0.86465  -1.43464  -0.94353  -1.46881  -0.82565  -0.90981  -1.34458  -0.48200  -0.60121  -0.90981  -0.99506  -0.94353  -0.58098  -0.86924  -0.73033  -0.41866  -1.48391  -0.55243  -0.93905  -0.79120  -1.05729  -0.94212  -0.94701  -0.93726  -0.97246  -0.15274  -1.12656  -0.97035  -0.40921  -1.82697  -2.04873  -1.40854  -1.28917  -1.01239  -1.34765  -1.73727  -1.37912  -0.56555  -0.73909  -0.02589  -0.64018  -1.64878  -0.49274  -1.88093  -0.76218
 314  -0.24124  -0.05752  -0.87001   0.19404  -0.84050  -0.74370  -0.11116  -0.59994  -0.83218  -0.93815  -0.32435   0.12813  -0.28390  -0.59607  -0.36205   0.00921  -0.92521  -0.50733  -0.51584  -0.54331  -0.97246  -0.60249  -0.29558  -0.96548  -1.01584  -1.31119  -1.14949  -0.66339   0.05159  -0.54043   0.63180   1.24345  -1.10098   0.38325  -0.47651   0.15156  -1.16796   1.09335  -0.06780   0.00280   0.73056   0.76062  -0.29236   0.14332   0.02674  -0.73325  -0.25994  -0.65605  -0.83299  -0.99764   0.35118  -0.38702   0.10841   0.59928   0.33733   0.36752   0.50724  -0.77740  -0.27807  -0.26958   0.20559   0.12482  -0.50667
 315  -0.61555  -1.11383  -0.96077  -1.08813  -0.72350  -0.27880   0.24039   0.20339  -0.20678  -1.44498  -0.18351  -0.10142  -0.35190  -0.36464  -0.88904  -0.73033  -1.29737  -0.67796  -0.67649  -1.19419  -1.18720  -0.16925  -0.53606  -1.44987  -1.35170  -1.16796  -1.18254  -0.86608  -0.78133  -0.71060  -0.82565  -1.27333  -1.47666  -1.44160  -1.68040  -2.20549  -2.08385  -1.47863  -0.84830  -1.44860  -1.00130  -0.99506  -1.75637  -2.41633  -0.16235  -0.45815  -1.47666  -1.25544  -1.91770  -1.27961  -0.67541  -1.56915  -1.09379  -0.47096  -1.20414  -1.04513  -1.86336  -1.91770  -1.24862  -0.22189  -0.75503  -1.21689  -0.64417
 316   0.14713   0.83781   0.14280  -0.38449  -0.01471   0.36068   0.80942   0.34146   0.33993  -0.54043  -0.36615  -0.01588   0.57129  -0.59357  -0.13302  -0.29236   0.55075   0.47440   0.47005  -0.26247   0.46972   0.22606  -0.23750  -0.34786   0.64645   0.62262   0.22606   0.90438   1.02403   0.57369   0.79526   0.55224  -0.11929   0.42285   0.57667   0.28085  -0.08230   0.61082  -0.75619   0.43162   0.46916   0.57019   0.08222   1.50917   0.56290  -0.58870  -0.13045  -0.38691   1.03622  -0.37477   0.29009   0.06015  -0.55043   0.07218  -0.27391   0.10431   0.79405  -0.28952   0.27774   0.29999   0.43162  -0.45185  -1.28538
 317   0.64883   0.70211   0.30921   0.37046   0.25196   0.33586   0.96124   1.14924   0.95231   0.31452   0.93305   1.24156   0.52203   1.33337   0.95231   0.67864  -0.62559   0.80942   0.84801   0.80560   0.35118   0.77489   1.60881   0.37329   1.02403   1.09731   1.39070   0.89839   0.27608   0.75120   0.77818   0.24936   0.69502   1.10915  -0.00980   0.05737  -0.25174   0.19836   1.08404   0.54049   0.72209   0.78203   0.65375  -0.15560   0.99654   1.36506   0.62669   0.43012   0.30574   1.35021  -0.15742   1.21472   0.06821   0.87027   0.33461   0.35785  -0.01588   0.43722   0.07590   0.65690   0.65690   0.76270   1.05260
 318   0.53321   0.62903   0.05159   0.01504   0.21071   0.50958   0.63358   0.51267   0.62262   1.07955   0.53321   0.94684   0.39054   0.70939   0.79647   0.42240  -0.42144   0.95231   0.83781   0.55566   0.26983   0.63180   0.66086   0.80493   0.40723   0.76062   0.80942   0.71606   0.24936   0.78093   0.61718   0.27608   0.50958   0.90438   0.41986   0.37411   0.39991   0.53321   0.23171  -0.01471   0.54049   0.01779   0.41706   0.42752   0.61082  -0.02307   0.73465   0.19836   0.37329   0.26332  -0.13445   0.43887  -0.26247   0.75595   0.31660   0.54372   0.52378   1.13636   0.27646  -0.02414   0.52378   0.72304   0.61082
 319  -0.44957  -1.01957  -0.24150  -1.28764  -0.11116   0.34201  -0.92420   0.03198   0.04071  -0.35382   0.09390  -0.12812   0.34146  -1.50419  -0.97578  -0.79957  -0.80352  -0.10976  -0.12375  -1.26905  -0.82076  -0.28072  -0.40497  -0.35610  -1.10853  -0.16164  -1.15265  -0.16046  -0.82417  -0.53137  -0.70482  -0.81250  -1.50915  -0.40134  -0.25280  -1.52580  -1.03791  -0.02589  -0.52560  -1.37318   0.13129  -0.20420   0.01435  -0.85673  -0.01170  -0.45169  -0.61767   0.15324  -0.77740  -1.25492  -1.35965  -1.04095  -0.97803  -0.98631  -0.50924  -1.05816  -0.23997  -0.39031  -0.62521   0.17235  -0.01588  -1.28321  -1.06495
 320   0.52360  -0.08534   0.30195   0.99654  -0.15806   0.28277  -0.75609  -0.18773   0.09948  -0.42450  -0.20678  -0.35382  -1.64981  -0.92798   0.72304   0.56693  -0.42404  -0.57261  -0.55139  -0.02158   0.37046  -0.59566  -0.84959  -0.33996   0.10616  -0.33996   0.02824  -0.03356   0.50386   0.33461   0.79843   0.81153  -0.50883  -0.03770  -0.00763   0.39133  -0.73205   0.59928  -0.15385   0.11038  -0.28072   0.19235  -0.88225  -0.34496  -0.42450  -1.34343  -1.19073   0.13129   0.08567  -0.11340   1.50637  -0.68033   0.45368   0.60554   0.25773   0.86164  -0.08796  -0.28602   0.64519   0.32519   0.34032   0.47884   0.81153
 321  -0.97498  -2.08024  -1.96844  -1.24688   0.20086  -0.28745  -0.21400  -0.55408  -0.62708  -1.01577  -0.51266  -1.48988  -0.77079  -0.54524  -0.86608  -1.01874  -1.07149  -0.66797  -0.66631   0.20559  -1.42068  -0.93662  -0.59994   0.49402   1.07470   0.71405   0.05064  -0.26039  -0.90622  -0.62521  -0.12375  -0.62232  -1.25544  -1.10640   0.44263   0.29009  -0.51442   0.11978   0.41884   0.38974   0.14795   0.26236   0.00752  -0.10820   0.11814   0.01079  -0.50991   0.19651  -0.08534   0.06611  -0.00456   0.29073  -1.25317  -0.78318  -1.78652  -1.10565   0.38233  -0.81250   0.18478  -0.12053  -1.97402  -1.17782  -0.57142
 322  -2.45982  -2.06791  -2.23135  -1.47491  -1.31174  -1.17151  -1.57010  -2.28575  -1.54097  -1.92382  -1.89313  -2.35770  -2.04565  -0.99398  -2.01486  -1.73528  -2.22363  -0.58879  -0.55226  -1.40854  -1.98933  -1.28917  -0.69065  -0.93662  -1.44160  -0.82303  -1.33133  -2.49200  -2.08626  -2.08225  -1.94020  -2.29536  -1.37654  -1.13787  -1.40569  -0.72350  -1.06495  -1.74326  -1.23461  -1.05384  -1.25913  -0.97963  -0.48621  -1.66881  -0.62521  -0.75173  -1.44308  -0.92824  -1.17782  -1.56502  -1.93206  -0.87001  -1.96898  -2.25384  -2.29412  -1.78712  -0.06903   0.36450  -2.35039  -2.77179  -1.83102  -2.74656  -2.14345
 323  -2.38114  -1.35170  -1.55001  -2.03036  -1.38530  -2.35822  -1.22469  -2.29214  -1.71203  -1.11964  -2.39306  -2.08506  -2.50472  -2.04873  -0.51266  -1.09857  -0.90820  -1.75680  -1.80319  -1.90751  -1.04527  -1.49143  -1.22384  -1.43885  -1.77908  -1.05902  -1.58164  -2.08506  -0.16164  -0.65788  -1.08531  -0.17287  -1.69133  -1.47055  -1.89049  -1.22426  -2.20822  -0.25096  -1.09379  -1.47120  -1.70624  -1.87146  -2.03873   0.71606  -0.70184  -1.33693  -2.10764  -1.00711   0.97802  -1.09954   0.22686  -1.46103  -0.31800  -0.76443  -0.85626   0.03580  -2.04950  -1.28484  -1.32351  -0.98792  -0.89931  -1.99445  -0.82508
 324  -1.73415  -2.20549  -2.07704  -1.51894  -0.84830  -1.29682  -0.56907  -0.60767  -0.58609   0.06184  -0.50096  -0.89392  -0.91892  -0.54723  -2.29313  -1.96434  -1.57537  -1.39655  -1.42566  -0.52391  -2.09354  -1.34910  -0.98230  -0.68191  -0.74708  -0.59539  -0.90436  -1.85790  -1.60080  -1.81035  -2.49502  -2.40186  -2.35456  -1.83447  -1.00362  -0.65105  -1.29664  -0.76604  -0.50991  -1.23615  -1.06147  -1.21335  -1.07690  -0.49791  -0.95809  -0.64198  -1.06524  -1.42151  -1.03184  -1.35170  -2.47587  -1.06756  -2.40186  -2.09557  -2.60105  -1.81556  -0.88177  -0.26759  -1.29591  -1.10640  -2.35039  -0.89686  -0.58098
 325  -1.19617  -0.91074  -1.61658  -1.58994  -1.28511  -1.34343  -1.11095  -1.36004  -1.48214  -0.16426  -0.44115  -1.27961  -1.50690  -1.74040  -1.10853  -1.50915  -0.91305  -0.66631  -0.69645  -1.05485  -1.00015  -0.91093  -0.39846  -0.76143  -0.19827  -0.37564  -0.31403   0.23250   0.33461   0.75410   0.44263  -2.20094  -2.54289  -1.44626  -0.57076  -1.80759  -0.19754  -1.86015  -1.87439  -1.94527  -1.54097  -1.52580  -1.90751  -1.81556  -0.63394   0.30428   0.27589  -1.50915  -1.89879  -0.76293  -0.93905  -0.31862  -0.44485  -1.88585  -0.91955  -2.13200  -0.24788  -1.16796   0.08627  -1.02172  -1.51482  -0.16765   0.51106
 326  -0.31897   0.35283   0.70315   1.30983   1.11755   0.41706   1.22087   1.21795   1.59319   1.35021   0.29356   0.64883  -0.13445   1.64842   0.46417  -0.09319  -0.71060   0.03580   0.02059  -0.15976  -0.58609   0.30498  -0.20862  -1.28375  -1.28511  -1.13166  -0.91542  -1.03177  -0.94353  -0.65287  -0.87241  -1.20966  -1.07970   0.01435  -0.16706  -0.47844  -0.04041  -1.42110  -0.98551  -1.09155  -0.02773  -0.05330  -0.38089  -1.49679   0.83376   1.18493   1.20761   0.29673  -1.14178   0.22262   0.45368   0.44125   0.14570   0.76428   1.59142   1.27857   0.73280   0.51106   1.11755   1.64842   0.56693  -0.39031   1.73451
 327  -0.79297  -1.45094  -0.51894  -0.30966  -1.49143  -0.36615  -0.16164  -0.50108  -0.89111  -0.64674  -0.49070  -0.52037  -1.23066  -0.43294  -0.85815  -0.96680  -2.15546  -0.19432  -0.21115  -0.79874  -1.61961  -0.30700  -0.40410  -0.74139  -1.12194  -0.98631  -0.66670  -0.73200  -1.04173  -0.83402  -1.19254  -1.04755  -0.50096  -0.69575  -0.43850  -1.22010  -0.51366  -0.71315  -0.89845  -0.82076  -0.68687  -0.50600  -0.49225  -0.29323  -0.69015   0.08627  -1.15932  -0.11435  -0.14142  -0.57786  -1.22792  -1.13244  -0.82076  -1.27422  -1.58606  -1.48017  -0.43464  -0.63394  -0.49070  -1.06495  -1.77581  -1.49835  -1.09468
 328  -1.71203  -1.35965  -1.66947  -0.57563  -1.54695  -1.73628  -0.28184  -2.12111  -1.51687  -1.54695  -1.78950  -1.16315  -2.19555  -1.64878  -1.56022  -1.55497  -1.72626  -1.14870  -1.21428  -1.20414  -1.84548  -1.79925  -1.65189  -0.96509   0.13632  -0.66155  -1.25247  -1.33693  -1.57345  -1.42234  -0.93726  -1.62401  -1.29591  -1.03861  -1.91191  -2.02090  -1.52832  -2.29313  -0.96680  -2.29412  -2.38277  -2.18927  -1.68497  -1.82449  -1.32013  -1.07149  -2.37679  -1.23409  -2.17025  -2.14815  -1.85822  -1.90449  -2.06672  -1.29664  -1.47436  -0.97498  -1.72626  -0.99981  -2.05222  -2.40131  -1.14822  -2.46882  -1.73217
 329   1.17979   1.01144   1.17209   1.62902   1.48275   1.67267   1.12738   1.58041   1.48607   1.73451   1.90415   1.99122   1.67267   0.74308   0.71764   0.67144   0.88466   1.29561   1.36506   1.48607   0.56452   0.76270   1.09731   1.53808   1.39070   1.51340   1.64842   0.44263   0.96386   0.92925   1.28420   0.83781   1.11151   1.60881   1.59142   0.96124   1.90415   0.73465   1.25143   0.75000   1.32903   1.42514   1.48607   1.44204   1.80723   1.75985   1.53337   1.55596   1.50637   1.53808   0.92195   1.40660   1.16888   1.40660   1.16888   1.42514   1.62902   1.77437   1.65500   1.55596   1.35876   1.13636   0.43887
 330   1.44204   1.34441   0.92414   1.90415   1.53808   1.40660   1.34441   1.39070   1.44204   1.25143   1.54815   1.83886   1.21795   0.87832   1.62902   1.47780   1.48275   1.17979   1.15933   1.45487   1.13198   0.39376   1.21795   1.47191   1.22799   1.29148   1.60881   1.72288   1.24696   1.59319   1.82816   1.78636   1.31828   1.95420   0.89731   0.93305   0.93535   0.78093   1.37991   0.71606   1.14924   1.35021   1.30983   0.94684   1.61942   1.25143   0.70315   1.53337   1.07050   1.05260   1.85161   1.31828   1.75985   1.89216   1.64842   1.89815   1.26240   1.60881   1.43192   1.65500   1.75985  -1.34765   0.99654
 331   1.38422   0.94055   1.13198   1.69502   1.92684   1.80723   1.32903   1.40819   1.09731   1.78636   1.71949   1.75985   1.65500   0.69706   1.18277   1.12337   0.79843   1.41667   1.07955   1.18493   0.75790   0.99654   0.69502   1.29148   1.47780   1.69502   1.43192   1.07050   0.99654   1.07050   1.34441   1.26240   0.95231   1.35021   1.79092   1.19803   1.42514   1.90697   1.65391   1.13636   1.58041   1.85161   1.71949   1.90697   1.90697   1.65500   0.92195   1.59319   2.03526   1.68927   1.02038   1.58041   1.29561   1.37991   0.99413   1.39070   1.90697   1.65391   1.63954   1.42514   0.88466   1.72288   1.12738
 332  -1.24419   0.05159  -0.94701   0.03956  -1.56709  -1.30370  -0.41612  -1.30970  -1.29664  -1.58994  -0.87361  -0.65278  -0.85122  -1.29408   0.20086   0.55224  -0.67335  -0.19754  -0.21400  -1.09379  -0.10142  -0.46164  -1.61407  -0.70482  -0.95777  -0.46212  -0.64483  -0.26143  -0.27247  -0.51417   0.27646   1.09731  -0.60249  -0.44294  -0.22402  -1.19617  -1.40569  -0.46737  -0.65278  -0.70239  -0.90820  -0.35854  -1.27961   0.85143  -0.58861  -1.21875  -1.74040  -0.71315   0.38910  -1.07705   0.96386  -0.84754  -0.93854   0.14988  -1.21520  -0.29109  -0.02773  -0.70391  -0.55949  -0.00824   0.25688  -1.16012  -0.06903
 333  -2.53524  -2.46562  -2.42199  -1.92965  -0.75503   0.03956  -1.37042  -1.41049  -1.33693  -0.66797  -0.41309  -0.05414  -1.12440  -0.55495  -2.17025  -2.06672  -2.11279  -0.10115   0.05737   0.28728  -1.82511  -0.32138  -1.12856  -0.37324  -0.54524  -0.40903  -0.07107  -2.05417  -2.45550  -1.71203  -1.62162  -1.66499  -1.72556  -1.63566  -0.63450  -0.25373  -0.68617  -0.49865   0.19404  -0.61508  -0.37172  -0.89245  -0.09723   0.11060   0.58629   0.41499  -0.70290   0.47440   0.22833  -1.06147  -2.06672  -0.38031  -2.49502  -2.04950  -2.50168  -1.96434  -0.49430  -0.56326  -0.61555  -1.50701  -2.29412  -1.09200  -0.89441
 334   0.60584   1.35021   1.30983   1.67267   1.71949   1.77437   1.90697   1.64842   1.90697   1.67267   1.92684   1.89216   1.46121   1.48275   0.71957   0.87027   0.75790   1.28420   1.43192   1.73451   0.59189   1.50637   1.71949   1.59319   1.50917   1.65500   1.70872   0.59438   1.03895   0.69347   1.09731   1.10915   0.71957   1.30322   1.39070   1.48607   1.35876   1.05906   1.50637   1.14924   1.74456   1.57246   1.51340   1.11755   1.83886   1.83886   1.64842   1.76547   1.22087   1.45487   1.19803   1.66951   1.05906   1.61942   1.18277   1.11755   1.17979   1.68927   1.64842   1.57246   1.11388   1.19803   1.59142
